date,page_views,unique_visitors,average_session_duration,bounce_rate
2024-01-01,33569,24081,00:06:19,0.44
2024-01-02,24027,8863,00:03:27,0.36
2024-01-03,30295,28962,00:05:14,0.42
2024-01-04,17708,9685,00:07:20,0.36
2024-01-05,33969,34311,00:03:37,0.31
2024-01-06,41431,18513,00:05:12,0.35
2024-01-07,26567,33387,00:06:40,0.41
2024-01-08,49058,15285,00:05:29,0.6
2024-01-09,25816,14776,00:06:39,0.54
2024-01-10,16755,19074,00:07:42,0.69
2024-01-11,39089,21336,00:04:32,0.63
2024-01-12,19776,11669,00:03:22,0.3
2024-01-13,29355,34353,00:06:41,0.34
2024-01-14,27179,33770,00:03:41,0.58
2024-01-15,45646,8847,00:05:59,0.31
2024-01-16,32328,11366,00:07:20,0.54
2024-01-17,43095,11719,00:04:21,0.35
2024-01-18,30880,29449,00:06:58,0.64
2024-01-19,33159,31425,00:04:17,0.59
2024-01-20,34207,20253,00:05:20,0.5
2024-01-21,47818,12779,00:07:16,0.64
2024-01-22,30697,36114,00:06:51,0.62
2024-01-23,44355,27496,00:03:53,0.66
2024-01-24,46940,31583,00:03:21,0.61
2024-01-25,31364,13071,00:03:35,0.44
2024-01-26,22637,16276,00:04:34,0.6
2024-01-27,42612,37349,00:05:35,0.64
2024-01-28,28595,14832,00:06:39,0.41
2024-01-29,46161,22167,00:04:15,0.4
2024-01-30,11218,30378,00:05:45,0.41
2024-01-31,33639,19619,00:05:14,0.58
2024-02-01,47044,21897,00:06:38,0.69
2024-02-02,28869,17365,00:07:19,0.64
2024-02-03,25285,16352,00:05:55,0.36
2024-02-04,15378,16385,00:04:58,0.44
2024-02-05,18813,13535,00:04:48,0.32
2024-02-06,21839,30675,00:07:47,0.34
2024-02-07,37783,37989,00:04:48,0.32
2024-02-08,23675,38366,00:03:55,0.69
2024-02-09,15869,9143,00:03:38,0.55
2024-02-10,40428,18504,00:04:56,0.59
2024-02-11,42749,28571,00:06:49,0.58
2024-02-12,28097,25955,00:05:31,0.67
2024-02-13,22106,9169,00:05:38,0.47
2024-02-14,22697,18287,00:03:31,0.59
2024-02-15,10452,25280,00:06:46,0.46
2024-02-16,21914,16392,00:06:35,0.64
2024-02-17,45981,26665,00:03:40,0.58
2024-02-18,31546,22261,00:03:48,0.5
2024-02-19,37823,10866,00:04:22,0.59
